Name,YearOpened,Annual Revenue,Store Trading Duration
Rural Bicycle Supply,1970,30000.00,49
Retirement Activities Association,1982,30000.00,37
Trendy Department Stores,1976,30000.00,43
Vintage Sport Boutique,1970,30000.00,49
Quick Parts and Service,1984,30000.00,35
Reliable Brake Systems,1979,30000.00,40
Thrifty Parts and Sales,1987,30000.00,32
A Typical Bike Shop,1982,30000.00,37
Active Transport Inc.,1990,30000.00,29
Retreat Inn,1982,30000.00,37
Technical Parts Manufacturing,1976,30000.00,43
Totes & Baskets Company,1970,30000.00,49
